Region,Region_Name,Region_Type,Seed,Strategy,Fraction_Removed,LCC_Size,Percolation_Threshold
EB,Ellipsoid Body,Original,N/A,random,0.0,1.0,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,0.1,0.9836065573770492,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,0.2,0.9559718969555036,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,0.30000000000000004,0.9330210772833724,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,0.4,0.9039812646370023,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,0.5,0.8679156908665104,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,0.6000000000000001,0.8388758782201405,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,0.7000000000000001,0.7871194379391101,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,0.8,0.7276346604215457,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,0.9,0.6449648711943794,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,random,1.0,0.00117096018735363,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.0,1.0,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.1,1.0,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.2,1.0,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.30000000000000004,1.0,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.4,1.0,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.5,1.0,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.6000000000000001,1.0,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.7000000000000001,0.9262295081967213,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.8,0.8126463700234192,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,0.9,0.65807962529274,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,high_degree,1.0,0.00117096018735363,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,low_degree,0.0,1.0,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,low_degree,0.1,0.752927400468384,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,low_degree,0.2,0.7072599531615925,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,low_degree,0.30000000000000004,0.6346604215456675,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,low_degree,0.4,0.48360655737704916,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,low_degree,0.5,0.4601873536299766,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,low_degree,0.6000000000000001,0.44028103044496486,0.005816827701630643
EB,Ellipsoid Body,Original,N/A,low_degree,0.7000000000000001,0.4180327868852459,0.005816827701630643
